sample_id,CD8_T_cells,T_helper_cells,Tregs,B_cells,Macrophages,NK_cells,Dendritic_cells,Neutrophils,Monocytes,Immune_Checkpoint,molecular_subtype
GSE235092_GSM8181064,-0.35328708931413083,0.12443649064511177,-0.049150816741887926,-0.42001269726400464,0.15784116257001138,0.19446700419760776,-0.1467918968321342,-0.4850889403084357,0.02265198184710899,-0.042200856328611216,C3
GSE235092_GSM8181053,0.07879000697139148,0.06767927681942254,0.10275401499829333,0.025137828356285932,0.36088935868391797,0.09832377417208778,0.19908129523826143,0.08340613309376442,0.21519111195511578,0.05678606383094383,C3
GSE235092_GSM8181055,0.14640336749388447,0.15191519092365782,0.07477383098141505,-0.07995404981620831,0.36382233098884925,0.20034408980435306,0.08235947022967689,-0.05219549290316916,0.18315256636738134,0.09583121996734226,C3
GSE235092_GSM8181058,0.43605623874324134,0.27664244461113485,0.3839212709748755,0.17301898025804663,0.5149110596915643,0.24005978950402257,0.14302899289822338,-0.18834814398402833,0.40338229397093933,0.3802944637952402,C3
GSE235092_GSM8181054,0.22980352537297244,0.20360275536875727,0.20724896618758004,0.07591944635715758,0.40224549952827865,0.05197311202653715,0.28299137837024907,0.018152091642541723,0.1634096362761216,0.16239170936753597,C3
GSE235092_GSM8181060,0.00698414178381991,0.18615998011557014,-0.024677047621094097,0.04360127154139827,0.3792834932164051,0.2599271554140464,0.1541459885333779,-0.44489930466020633,0.19677921564875814,-0.045520355698551444,C3
GSE244945_GSM7832476,-0.05603094163342459,-0.04063749285873645,-0.009995465827471784,-0.11727058748049855,0.11855806550513974,0.13860080564351943,-0.08342738297062055,-0.21511041179412863,-0.00801695473448448,-0.030044498417088564,C3
GSE244945_GSM7832477,-0.056074058924198075,-0.040665850361852864,-0.010021935007226191,-0.11739935107439183,0.11851337445611333,0.13859401164909713,-0.08354299911544348,-0.21516462287392463,-0.008072124075514907,-0.030147931898077598,C3
GSE244945_GSM7832478,-0.05674756331964086,-0.030597122747914433,-0.010811697889094904,-0.11982932354551909,0.11858581051294678,0.13859276430327552,-0.0857865021484244,-0.20511173521088763,-0.008881822517954656,-0.031129518312327024,C3
GSE244945_GSM7832479,-0.04934944518168014,-0.05538631097909624,-0.003651411239466371,-0.12035598811388847,0.11850317133622353,0.14072817902994794,-0.06482500060599874,-0.20444219975288888,-0.0021308623379286567,-0.022817606470998477,C3
