Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
SYBU,-0.5336520870374528,5.484634450638343,-3.2298793137965953,0.0013729760177502847,0.0027680165478558534,-3.555799070661883
NEDD4L,-0.7358116901399208,6.926966337092035,-3.2287898183597323,0.0013780423269934782,0.0027780406073642456,-3.559211735285955
LMTK3,0.6943151125086797,3.2886478040174216,3.227555610827549,0.001383802496134615,0.0027894619752850997,-3.563076387325884
C12orf10,0.5946978377184942,4.825106124625479,3.226394387340492,0.0013892424068762327,0.002800236250315754,-3.566711245397606
LYRM1,-0.34449296698261245,5.644201919889435,-3.225229699800513,0.001394718445775928,0.0028110818691406392,-3.570355719143185
SLCO5A1,-0.7301477962807841,4.816705577674869,-3.2234191143449915,0.0014032710468720314,0.0028281264515199866,-3.576018858583603
NKAIN3,-0.6983019721759922,1.7569165420325124,-3.2225973034852777,0.0014071690188306133,0.0028357884916361546,-3.578588333747499
PPIE,-0.33375474507910363,6.4107011359317765,-3.2222192594248313,0.0014089655052868396,0.0028392147683773974,-3.5797701213357946
LYPD1,-0.9119134022243278,3.777276040378453,-3.222050481948245,0.0014097682311937565,0.0028406381808367943,-3.580297687654845
TNFAIP6,-0.7627175158020061,1.5755702175260031,-3.2214138604914355,0.0014127998941541105,0.0028465523291113536,-3.5822874129544537
B4GALNT4,0.7724834866406338,5.303450829351503,3.221293546349818,0.0014133735218271248,0.002847513483016843,-3.5826634068990693
DLG2,-0.7052599546474925,5.0992358531801365,-3.221056103417363,0.001414506223416655,0.002849600790798579,-3.583405401738874
BANK1,-0.6822308290737495,3.200036276615972,-3.2207867216714536,0.0014157923047350622,0.002851996784140374,-3.5842471415586523
CA4,-0.636041865585511,1.260819262338759,-3.220617417918461,0.0014166011483782986,0.0028534311598346967,-3.5847761330132037
AL354822.1,0.9868104261789705,2.719549806642445,3.2193686269866815,0.0014225804476638057,0.0028652793726567367,-3.588677191388067
PKM,0.8989521611892961,10.719635300763532,3.2190828227666772,0.0014239521823127428,0.002867846310067084,-3.589569807303497
NR1D1,-0.49062955840569344,5.580462630397048,-3.2178959832905374,0.0014296616099247349,0.0028791484337858534,-3.593275719520891
MLF2,0.3594080374731581,7.498655923199016,3.2178434413658823,0.0014299148584091348,0.0028794617445874115,-3.5934397524220065
KRT8P12,0.8392136065487139,3.7606385040367205,3.2177831897299747,0.0014302053183247426,0.00287984994122886,-3.5936278515221947
SPSB1,0.5751991781149055,4.669129695820981,3.217612771127503,0.0014310271649618886,0.0028813080078023113,-3.594159862171982
MIR3685,-0.946118798971791,2.7865330714851955,-3.2174042419756437,0.0014320333955406656,0.0028831370985408977,-3.594810810029263
SV2B,-0.9656077045203229,4.443037330410069,-3.216946856077604,0.0014342427481135415,0.002887388039957342,-3.5962384549013082
WDR4,0.39611501897404855,4.929977811806497,3.2143875851936627,0.0014466633973124708,0.0029121941697623052,-3.604223241653595
PAF1,0.23353576072569782,7.04065725662473,3.213936908791472,0.0014488609088982025,0.0029164187119505606,-3.6056287125540036
DLX5,-0.8814828752970241,3.6845290558014487,-3.213326986799664,0.0014518398303307767,0.002922215473337996,-3.6075305103903164
FOXN1,-0.6639809858525815,1.0247701108728107,-3.213254594101428,0.001452193780035943,0.0029227283471627277,-3.6077562156715546
SPIB,-0.46921714360058236,1.112027029660954,-3.2123511394676902,0.0014566177694237251,0.0029314320745703355,-3.6105725983016708
RERGL,-0.5340493699696769,1.2573891961861388,-3.21225526887506,0.0014570879553415718,0.002932178157776442,-3.6108714168668605
DENND3,0.500057921441615,6.172173193521889,3.212147639354633,0.0014576159790002255,0.0029330405212549073,-3.611206876841301
NAGLU,0.4772995101022022,5.098128758883613,3.2101654037543508,0.0014673724439019623,0.0029524711314956147,-3.617383235156362
NAP1L1P1,0.976821460803682,2.2686761394322414,3.2085663501803627,0.0014752869379522542,0.002968193149373535,-3.6223630564148017
PLA2G7,-0.8053038510129473,2.6925421746529694,-3.2083916595778965,0.0014761539576283694,0.00296973487272021,-3.6229069426450033
GBX1,-0.5478341876877189,0.9834847117713249,-3.207890881358257,0.001478642022210189,0.002974537390431838,-3.6244659250313322
ISL1,-1.1689924275006898,5.911166965229087,-3.2071285880492977,0.0014824368527043925,0.0029819678530689274,-3.6268385983256444
SPARC,1.2354444139326901,7.627016062303623,3.205700230109668,0.001489571760380694,0.0029961155125730527,-3.6312830091242256
LNX1,-0.5353057648858859,5.121331306992541,-3.204872876927421,0.0014937190686111295,0.003004252412452225,-3.633856515301048
AMZ1,0.7113821886691687,2.6659375721948395,3.2048308406726647,0.0014939300706391678,0.003004471820213746,-3.633987253714378
SLC16A13,-0.539807125437757,3.5208358411465475,-3.2045153436590166,0.0014955145967735933,0.003007453330660457,-3.6349684407329956
POLE,-0.7444038380905891,7.756342471242877,-3.204214643792947,0.0014970262550165355,0.003010287908337936,-3.635903524956328
SCARNA11,0.8081187222166575,1.6658673375229984,3.2041609122503103,0.0014972965195592194,0.0030106260191737383,-3.6360706049090528
SOX5,-0.827857811991874,4.837954427938586,-3.202813076368506,0.0015040908021873097,0.003024081084313174,-3.640260886551948
CARD8,0.29571718858290374,6.451612788147527,3.202231184074437,0.0015070328646267887,0.0030297896809917046,-3.642069419653706
RYR2,-0.9302710979168669,4.494443576826413,-3.2013881851617367,0.0015113045393945286,0.0030381704143123147,-3.6446889323370844
ZMAT1,0.6743643399595438,5.393291646176198,3.2001353904357996,0.001517673455832271,0.0030507657951309958,-3.6485806421820595
TGOLN2,-0.41070273823384174,8.518658126114277,-3.199899918629771,0.00151887330980628,0.0030529695265834145,-3.6493119580695588
CPM,0.6569305970790382,5.254776816291788,3.1995154321504384,0.0015208343602606635,0.003056702875296197,-3.650505967664195
NAV1,-0.7130200029833311,8.10697175943765,-3.198693039312371,0.0015250367962415634,0.0030649403360827276,-3.6530594299633776
PKN3,0.5957585287468876,4.248216998077948,3.1985819406452736,0.0015256053349607783,0.00306587395228212,-3.6534043351372327
LPAR5,0.6123001579852232,1.6967093465185432,3.1982068070183916,0.0015275265017914866,0.003069525512869935,-3.654568852532635
ATP8B2,-0.583459624364727,7.6138278311977485,-3.1974590514674466,0.0015313626543339907,0.0030770244283274523,-3.656889709175446
DGCR6L,0.6407773201708271,4.36020282032647,3.1930379854562774,0.0015542265130666622,0.0031227527998172336,-3.67060127989832
DKK3,-0.9257910046693811,5.888865162046308,-3.192741505757412,0.001555771025163344,0.0031256430143683073,-3.67152015214545
SEMA6D,-0.7890460539685575,5.619142048120171,-3.1924603303828385,0.0015572371214314926,0.003128375303367757,-3.6723915183245834
TRIM8,-0.30755656304069445,6.975643831311307,-3.1921929484849882,0.001558632481988263,0.003130965126839465,-3.6732200717360852
TREM2,0.5610986227833469,1.153709756013814,3.192097176000441,0.0015591325621306937,0.003131756289716903,-3.6735168322744514
STOML1,0.5120755918228364,4.562255832288574,3.1918819755773824,0.001560256782047198,0.003133800939605767,-3.6741836217320643
KRT39,-0.5456362126774252,0.9801247988817897,-3.1909627687639777,0.0015650672233442876,0.0031432486416930953,-3.677031271853574
